,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Food Processing,189,1.094738825933205,0.11718329993681748,0.8215001752908199,0.31272680039281325,0.0636,0.13706267169804418,0.047700000000000006,0.17849982470918013,0.10478054307788018,0.12110734913321841,1.0423009661845084,0.17450498375479628,5.972900852213401,6.2733957642806635,0.21728519369577648,0.9413351784900592,0.09686817049018852,0.34122769543161696,0.31272680039281325,0.419897240368187,17891.417,3759.5240000000003,6472.601999999999,1.7216546562809543,0.21013003050568885,0.24682731312284023,0.3617713454445782,0.41585701914145723
Food Wholesalers,15,0.35403075933552397,0.06414860236842351,0.9022297222704118,0.4005182070299128,0.0636,0.09850498075132351,0.047700000000000006,0.09777027772958824,0.06254041794659919,0.07824298569950461,0.3445221203991896,0.10767606204392065,3.1996166451430996,3.2879244710037425,0.10836517055052751,0.3274200612511641,0.0496399451164698,0.37284152445804203,0.4005182070299128,,317.14,49.73799999999999,41.158,0.8274960794563514,0.1568329444409409,0.1939548892088236,0.12977864665447436,0.170274206093101
Furn/Home Furnishings,95,1.1450587110371142,0.12078620371025738,0.8441890558953015,0.33019451705570174,0.0636,0.11624804539976832,0.047700000000000006,0.15581094410469853,0.10939857330913384,0.12579362611665812,1.2798376373178215,0.18372687605345292,6.965979419066972,6.232396346324282,0.1845687799629833,1.0058256950008229,0.21409898750223536,0.3554012346471817,0.33019451705570174,0.409879414169366,17393.296,2715.382,4613.839999999997,1.6991495119287074,0.15611658652851076,0.15655515220734417,0.2652654218038949,0.273316857138118
Green & Renewable Energy,38,0.9236832465876514,0.10493572045567584,0.595213537531442,0.39416575365196005,0.0636,0.10434733404184392,0.047700000000000006,0.404786462468558,0.08176747564558354,0.09775418710832628,0.6358378502441157,0.1456492400301667,4.365541832641363,6.341833616133798,0.680069314530964,0.611689700231226,0.037978472032796445,0.36503022101949995,0.39416575365196005,0.34994488621976827,11128.706999999995,1655.6389999999992,3517.8469999999993,2.124766932888148,0.14877191033962886,0.16053484318743025,0.3161056356322438,0.33613277803082797
Healthcare Products,135,0.8189311396459794,0.09743546959865212,0.9692031975167655,0.3843864530470881,0.0636,0.0938819670077867,0.047700000000000006,0.030796802483234464,0.09590377616501153,0.11209939847286887,0.881462423261849,0.12711881653456716,6.93416165514847,6.442249558099757,0.03177538266706117,0.7998690312327649,0.09256593347127384,0.38833062272696334,0.3843864530470881,0.9721852988076457,12122.639999999994,1443.1309999999994,2192.496000000001,1.5192633239809843,0.11904428408333499,0.1407456086382981,0.1808596147373841,0.21530696347690037
Healthcare Support Services,69,1.0504974333382906,0.11401561622702161,0.7094675380851134,0.34198052566650733,0.0636,0.17016674593369227,0.047700000000000006,0.2905324619148866,0.09474877698118223,0.110927330335584,0.9786884024139211,0.131852606583942,7.422594272270634,7.9672102096025466,0.4095077594375177,0.8036666396385076,0.17883297926462072,0.4162839092233632,0.34198052566650733,0.47581109336933924,8807.497000000005,1857.8360000000005,4528.7829999999985,2.4376656497128906,0.21093802245972942,0.23137387924214628,0.5141963715684486,0.5702278212740549
Heathcare Information and Technology,41,1.3798891308127155,0.13760006176619044,0.9633684523527135,0.41857034171643864,0.0636,0.09508322412595624,0.047700000000000006,0.03663154764728649,0.13430688337010824,0.15107003928198193,1.4351074590261796,0.1761003796080715,8.149371751612067,7.835810086745938,0.03802444179880074,1.3416281351084176,0.06513750822617449,0.41361357763671025,0.41857034171643864,0.949985995511684,4464.519999999999,648.51,433.72000000000014,0.6687946215170162,0.14525861682778893,0.17128226812293737,0.09714818166342637,0.11534216775833786
Homebuilding,3,1.396540763852294,0.13879231869182423,0.7701067238685416,0.5466680122299846,0.0674,0.04502541757443718,0.05055,0.22989327613145838,0.11850600295432454,0.1350356483181816,1.5072253449991038,0.15137215612409036,9.957084470432763,9.225876142686715,0.2985213204951857,1.1410662998904129,0.24293583326712748,0.46124442087586726,0.5466680122299846,0.6217977897563177,45.9,6.2,12.5,2.0161290322580645,0.13507625272331156,,0.27233115468409586,
Hospitals/Healthcare Facilities,23,1.076637582809322,0.11588725092914745,0.9427737996909245,0.3634074292542356,0.0636,0.1712502169410687,0.047700000000000006,0.05722620030907555,0.11198515364895086,0.1284184317816941,1.087091164115262,0.1211706772808268,8.97156959514062,8.885298052053404,0.060699820389404566,1.0297579890733422,0.05273998808423866,0.3852369878496237,0.3634074292542356,0.591500793913662,890.3000000000001,197.04899999999998,294.3669999999999,1.493877157458297,0.22132876558463435,0.29094981767668,0.3306379871953273,0.5111425594721304
Hotel/Gaming,84,0.9110689348801114,0.10403253573741597,0.6804058156394741,0.3708151097374902,0.0636,0.05449759017987024,0.047700000000000006,0.3195941843605259,0.08602898492545634,0.10207867435785234,0.7263101506542247,0.1621869725965179,4.478227437299229,5.617398982756965,0.46971112976181384,0.6737263582257236,0.07239853715542338,0.40207770480183186,0.3708151097374902,1.1366771732678016,402.83000000000004,179.58800000000002,465.12399999999997,2.5899503307570657,0.4458158528411489,,1.154640915522677,
