,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies2,aggregate_tax_rate3
Computers/Peripherals,42,1.2910863648381774,0.11549053007138774,0.9130527367298142,0.48725444355956743,0.055,0.09132626196935435,0.04125,0.08694726327018576,0.10903551915795263,0.10903551915795262,1.227042372213005,0.2940976623139815,4.17222756059517,4.389991932203124,0.09522698938682962,1.2050233084823772,0.01794482752125007,0.4600212953010714,0.48725444355956743,0.2502042492888249,1.4982789281613096,1.6400833392351297,1.14,1.2487708944175273,1.3508351068053943,130404.94499999999,21779.468000000004,22648.56,1.0399041886606228,0.16701412664987517,0.16751588729867892,0.17367868986870094,0.17617941727967132
Construction Supplies,49,1.264396002860222,0.11390512256989718,0.768484292111637,0.3511164528388211,0.055,0.10517907237686368,0.04125,0.23151570788836295,0.09708432043641166,0.09708432043641158,1.0760610533922743,0.4162991711851774,2.5848263169220265,3.037229210090826,0.30126277175061744,1.0313626295227094,0.04153892916080696,0.4573409539780639,0.3511164528388211,0.19305242155651664,1.149597054125011,1.10359654774166,0.87,0.9796485993062782,1.0357806509130447,20521.738999999994,4340.162,3858.5710000000004,0.8890384736790932,0.21149094625947643,0.2366237551533518,0.18802358805947203,0.20942428296773366
Diversified,23,1.0382284747790869,0.10047077140187777,0.8248336247326211,0.5784443873074648,0.058800000000000005,0.029800285457986134,0.0441,0.17516637526737888,0.09059650770438482,0.09059650770438488,0.9394964138236339,0.2753518069326997,3.4119856495194942,3.7705526117460564,0.21236570626489795,0.8955848438636543,0.046739475865868324,0.5643234779391457,0.5784443873074648,0.4871807435997979,1.1438090814341535,1.2484828302966493,0.89,0.7021414621539441,0.9847859575416763,15059.6,2404.9,9101.827999999998,3.7847012349785842,0.15969215649818055,,0.6043871019150573,1.6028013453783432
Drugs (Biotechnology),598,1.2417422800706084,0.11255949143619413,0.8671457735209235,0.5841409330821086,0.058800000000000005,0.00936698809111424,0.0441,0.13285422647907652,0.10346435865628759,0.10346435865628756,1.1994489579084946,0.22872559625710936,5.24405216353748,5.428960730196422,0.1532086421175077,1.1137636210543922,0.0714372514888118,0.6539990607514994,0.5841409330821086,0.29812569880822276,1.4307835597315306,1.3891731337867141,0.85,0.9722328956942816,1.168327709424204,59505.96000000003,8480.332999999999,12408.014999999994,1.4631518597206024,0.1425123298573789,0.9703958973482677,0.20851718046393988,1.5058382106954886
Drugs (Pharmaceutical),281,1.2680061555196915,0.11411956563786968,0.8801610240503839,0.6488355395045173,0.058800000000000005,0.02373947361492524,0.0441,0.11983897594961612,0.10572849259539045,0.10572849259539052,1.1808060946282533,0.20206642380297907,5.843653153279811,6.275194718920924,0.13615574045546022,1.1505188464363174,0.025649637421181277,0.6919122536259916,0.6488355395045173,0.18546971819096153,1.3790871702678402,1.2856575366949226,0.84,1.009823573553889,1.139074875028981,95301.319,11581.182000000003,24143.713,2.0847365148047925,0.12152173885442238,0.13961153139407637,0.25334080633238665,0.28657366253233163
Education,33,1.1008288893194806,0.10418923602557716,0.7656356927520311,0.41812601855058806,0.055,0.07098235745829681,0.04125,0.23436430724796886,0.08943852557572636,0.0894385255757264,0.9937160802737702,0.2715999871053923,3.6587486283206867,4.053125705386401,0.3061042078714493,0.8952898878644345,0.09904860589779241,0.5483166862101779,0.41812601855058806,0.17467699345638765,1.1083755117525074,1.3560146590000444,1.07,1.1033169078612295,1.1262846317775101,1282.4,369.7,561.261,1.5181525561265892,0.28828758577666874,0.479888508122039,0.4376645352464129,1.7597312406136438
Electrical Equipment,110,1.5896686619511227,0.1332263185198967,0.816207283598825,0.5855485943663449,0.058800000000000005,0.04468854824762538,0.0441,0.183792716401175,0.11684555033628852,0.11684555033628863,1.4326548798323873,0.28919959537772394,4.9538619788219105,5.4967872962438085,0.2251789711931941,1.3599881180140871,0.05072174941867486,0.5944028755049212,0.5855485943663449,0.13952392240432268,1.1823979253907428,1.307118859086069,1.0,1.194327330306878,1.2232997989232155,13059.930000000004,2625.546,2889.0400000000004,1.1003577922458798,0.20103829040431295,0.30708438632338375,0.22121404938617584,0.3413010893130879
Electronics (Consumer & Office),16,1.538919124088938,0.13021179597088292,0.8587050966893119,0.3956471324501661,0.055,0.039839422941665745,0.04125,0.14129490331068806,0.11764194761083187,0.11764194761083191,1.6130596990178139,0.2588775481291933,6.2309756511322245,5.944583202406327,0.1645441535812963,1.3698664833253236,0.15076516748919444,0.59618023652288,0.3956471324501661,3.28167406691279,1.2240277060430294,1.25079435757328,1.01,1.0571596798644427,1.231008288499713,175.70000000000002,17.683999999999997,37.875,2.141766568649627,0.10064883323847465,0.20973591221870932,0.21556630620375639,0.8804863306676587
Electronics (General),138,1.2012527647557136,0.11015441422648939,0.841642471659688,0.449375866701406,0.055,0.06290651967255027,0.04125,0.15835752834031203,0.0992428814978455,0.09924288149784544,1.1161632606240839,0.3027405923088268,3.68686356894447,3.9679276425881844,0.18815296717148403,1.0527011334089542,0.056857387672521964,0.5030761314415528,0.449375866701406,0.25372538724431853,0.9606603035174501,1.070921529276746,0.86,1.051017267647953,1.0117524722132465,13560.413999999995,2576.403,2565.9110000000005,0.9959276557277726,0.1899944205243292,0.22281840221330604,0.18922069783415177,0.23015602356965553
Engineering/Construction,43,1.1967640138319908,0.10988778242162026,0.759923656980389,0.3516684814395371,0.055,0.13296156731028333,0.04125,0.240076343019611,0.09340947462486192,0.09340947462486193,1.0176246718468016,0.39097304282679585,2.602800092019688,3.060988566319563,0.3159216597803674,0.9675188848532291,0.049237983688661585,0.42193835857454437,0.3516684814395371,0.1519539977388748,0.810158783963093,1.3250378765861548,0.95,0.9739625248634707,1.0153567714519043,4452.0520000000015,1018.7800000000002,729.6729999999999,0.7162223443726808,0.22883380517568075,0.25559988983389964,0.16389588441464736,0.19286283316126476
