,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_euros,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201721,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Computers/Peripherals,39,1.144287545220504,0.12404942211892754,0.7656135248382736,0.3230297952154638,0.0657,0.11134381025921125,0.04938669,0.2343864751617264,0.1065494875116279,0.09564752211742467,1.017063224016954,0.2626195566751145,3.8727627024180777,4.357206141491195,0.30614202539229907,0.9302190602888041,0.08538718309482606,0.3701776569435791,0.3230297952154638,0.33819566715907784,1.0341827630870628,1.38,0.93,0.99,1.0702491974208033,2036.885,192.053,135.058,0.7032329617345212,0.0942876009200323,0.10006705854758835,0.06630614884983688,0.06977498705842361
Construction Supplies,119,1.19298730908766,0.12767755452703067,0.6307923093392978,0.29773930780935076,0.0657,0.14032664848622742,0.04938669,0.36920769066070225,0.09877196523517577,0.08794662567620848,0.9215737984479324,0.3206068048416278,2.8744673679124437,3.72102928282189,0.5853078504514684,0.8284772681415464,0.10101907244235282,0.3765248609619506,0.29773930780935076,0.35306004165643917,0.7928440981962714,0.94,0.92,0.95,0.9048835793288408,26154.637000000006,6302.313999999998,6928.165999999999,1.0993051123761848,0.240963543099451,0.24887698375904058,0.2648924548255056,0.2759413724663627
Diversified,68,1.2682721875988752,0.1332862779761162,0.6703118721260574,0.2627720657797266,0.0657,0.12816386713168149,0.04938669,0.32968812787394264,0.10562557988687529,0.09473271703084696,1.0170289011045945,0.36793969140218913,2.764118481560871,3.446956708490976,0.49184288923341973,0.9259365139167839,0.08956715693022607,0.36565292356952306,0.2627720657797266,0.30984962760483054,0.9177995161938418,1.0,0.82,0.97,0.9449656834596872,29216.930000000004,6679.689999999999,5482.035000000002,0.8207020086261493,0.22862395193471724,0.33954766810508874,0.18763213657287062,0.27557480757641895
Drugs (Biotechnology),239,1.2426420300249899,0.13137683123686172,0.8805862924860598,0.4748673937472516,0.0657,0.017319842573810716,0.04938669,0.1194137075139402,0.12158608449217646,0.11053597528535719,1.2401788982614341,0.21513533751408867,5.76464523491041,5.7760944546993,0.1356070478644551,1.1276900250107293,0.09070374718389349,0.5321168242015961,0.4748673937472516,,1.3117926546575827,1.51,1.03,1.09,1.2363943105838033,2917.3360000000002,413.45300000000003,578.9239999999999,1.4002171951830071,0.1417227909298072,,0.19844268880924235,
Drugs (Pharmaceutical),136,1.016405000269593,0.11452217252008468,0.8596631450566758,0.41186289628145495,0.0657,0.07510427037191143,0.04938669,0.14033685494332415,0.10538126375800014,0.0944908079574287,0.9285517809688922,0.21102641997369956,4.400168382160957,4.816482222445268,0.16324633171760788,0.9053120996759776,0.025027878648474892,0.4782935816437411,0.41186289628145495,0.12548907507756105,1.0664674077951128,1.02,0.83,0.88,0.945003837752801,82885.11599999998,11115.867000000002,16459.411000000004,1.4807132003288632,0.13411173846942562,0.12352112483380485,0.19858102147073073,0.21423835869946845
Education,20,0.8530061108853271,0.10234895526095686,0.6417586028174886,0.3100223741382474,0.0657,0.13492815785700327,0.04938669,0.35824139718251136,0.08337567935592088,0.07270202734256204,0.6374214551776206,0.17475248212660574,3.64756739029216,4.881224578357267,0.5582183014138614,0.6008724158244807,0.05733889102141271,0.3639530953999378,0.3100223741382474,0.8544269164749666,0.8893023455986263,0.58,0.61,0.6,0.6633447601552493,135.652,36.27000000000001,41.89400000000001,1.1550592776399229,0.2673753427889011,0.2959533756611919,0.3088343703004749,0.3638748230307558
Electrical Equipment,154,1.3353991271104295,0.138287234969727,0.8571561799593356,0.37692727251587366,0.0657,0.09685799342868852,0.04938669,0.14284382004066443,0.12558834152255433,0.11449880121198719,1.259264855363673,0.28777378585054875,4.375884522079625,4.640447437432505,0.1666485331149816,1.1867369434460562,0.05759543880597759,0.4311157507614093,0.37692727251587366,0.11047291889858192,1.1857163167952267,1.19,1.16,1.24,1.20699623443178,18303.13200000001,3767.465000000001,4080.414000000001,1.0830661996859958,0.20583717584509575,0.26736261197049704,0.2229352877966459,0.29317632364301904
Electronics (Consumer & Office),19,1.085710671316178,0.11968544501305525,0.916107643916233,0.36046829216866766,0.0657,0.11187747735439224,0.04938669,0.083892356083767,0.11378791682525452,0.1028146368565328,1.0800643820744182,0.264280143602668,4.086816237311575,4.108181025315658,0.09157478014825725,1.015787171320165,0.05951238816967531,0.44323478151789325,0.36046829216866766,0.3532823281884103,1.4554682295984591,1.38,1.23,1.27,1.2831065223345752,1269.2769999999998,108.81500000000001,148.727,1.3667876671414785,0.08572990765609086,0.05873681567860029,0.1171745804895228,0.11967437099883808
Electronics (General),157,1.2062312587271709,0.12866422877517422,0.8747620741774578,0.3634234822561764,0.0657,0.11559441753403907,0.04938669,0.12523792582254223,0.11873567425465524,0.10771364790731885,1.1394180405083687,0.2728869425952511,4.175421622127102,4.42026008007377,0.14316798763858607,1.0890304779137694,0.04422219133209277,0.4011505624173493,0.3634234822561764,0.16854583355808472,1.157851169014601,1.2,0.95,1.01,1.091453841904594,6636.584000000002,1048.812,1142.2470000000003,1.0890865093076743,0.15803491675838047,0.1610987033886339,0.17211369584111344,0.1795778600394231
Engineering/Construction,160,1.005871208487465,0.11373740503231615,0.564013761313138,0.30141114708089034,0.0657,0.15190262755494865,0.04938669,0.43598623868686204,0.08568137882856652,0.07498501056424556,0.7693513608849124,0.27501295096336337,2.7975095652400883,3.657541235654262,0.7730063849360663,0.636196948007551,0.1730736041386948,0.3577864823113304,0.30141114708089034,0.16636769303594562,0.7811194844839858,0.81,0.74,0.84,0.7880941690737796,18847.981999999993,4649.860000000002,4649.094999999999,0.9998354789176441,0.24670333407576495,0.30661685779051495,0.246662746176222,0.2569569720000003
